帐号,客户 ID,有消费天数,总消费,2021/4/1,2021/4/2,2021/4/3,2021/4/4,2021/4/5,2021/4/6,2021/4/7,2021/4/8,2021/4/9,2021/4/10,2021/4/11,2021/4/12,2021/4/13,2021/4/14,2021/4/15,2021/4/16,2021/4/17,2021/4/18,2021/4/19,2021/4/20,2021/4/21,2021/4/22,2021/4/23,2021/4/24,2021/4/25,2021/4/26,2021/4/27,2021/4/28,2021/4/29,2021/4/30
佛山速派篷房有限公司 （出口易）- Becca,6620146475,25,15232.65,591.14,578.33,581.41,571.92,609.78,751.64,532.66,539.74,506.17,518.17,518.59,540.45,537.31,547.61,450.77,,,,1.57,,,9.15,779.11,962.71,980.74,1010.46,867.13,675.23,787.39,783.47
佛山鑫益印刷包装有限公司-（代投）,9635941647,30,1107.62,63.87,15.41,10.36,4.93,14.73,53.76,68.94,34.6,9.92,49.13,44.08,29.59,59.75,54.59,24.61,49.66,14.62,14.94,49.13,59.1,19.33,75.09,24.78,24.45,24.56,44.55,46.82,38.96,48.88,34.48
芙雅2,4884158686,30,109.75,5.91,3.44,5.43,0.81,4.95,5.94,5.33,4.01,1.23,2.6,1.48,4.36,2.62,3.55,1.87,2.63,2.15,1.98,3.51,2.72,3.42,2.05,1.94,8.7,1.89,1.44,2.16,5.93,12.62,3.08
福建省凯达石材机械有限公司,1386594191,3,413.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.87,181.15,178.75
福利来64000 20190429,5622204252,10,771.06,92.43,75.41,88.21,72.84,81.89,77.04,79.91,72.19,86.36,44.78,,,,,,,,,,,,,,,,,,,,
福施福33000-20201222,4681074231,12,1231,35.26,,,,,,,,,,,,,,,,,,,18.68,137.44,110.19,121.89,90.25,99.83,141.13,148.35,143.08,93.61,91.29
福州科炫电器有限公司,1007127046,10,2082.52,,,,,,,,,,,,,,,,,,,,,335.88,255.18,244.25,159.33,174.67,179.41,181.45,173.57,195.19,183.59
阜城邦田矿山安全设备有限公司,9970563517,22,2779.04,119.5,98.93,,,110.5,118.82,164.17,152.91,146.8,,,156.38,146.78,141.98,98.3,122.28,,,134.1,98.32,116.51,116.64,79.36,,,175.65,151.06,133.33,113.48,83.24
富臣24000-20201027,2922887450,25,1436.33,,,,,,26.55,60.72,44.85,45.83,55.89,47.62,43.76,58.37,32.02,60.42,65.82,80.51,73.1,70,56.26,62.44,72.48,56.52,38.02,51.33,56,64.87,106.1,63,43.85
富宇24000-20190523-20190928,5030387711,30,1183.27,57.41,32.37,62.65,12.14,67.1,28.33,58.84,74.06,50.22,30.43,41.63,39.1,27.42,25.01,45.22,53.55,24.78,57.81,62.79,35.43,49.17,42.95,27.73,31.29,16.65,21.15,21.98,40.36,44.01,1.69
伽马机械,7288481152,30,2865.54,80.99,84.79,40.15,75.81,59.49,71.31,136.36,108.6,108.97,87.84,87.88,106.55,136.36,73.57,120.58,140.68,86.04,74.1,89.63,79.17,98.88,76.99,93.32,96.65,92.25,109.86,138.6,129.14,87.74,93.24
盖扬,6239913988,30,7363.16,251.92,270,226.64,207.48,255.48,281.39,280.65,272.36,250.1,228.27,219.58,245.92,182.49,225.33,324.49,273.9,194.1,220.53,221.17,253.79,245.62,294.37,229.78,206.79,245.74,265.93,246.09,243.74,253.75,245.76
港泽物业,2723734301,26,21446.5,,,399.71,373.76,194.16,242.82,195.61,246.89,257.3,317.55,366.84,203.59,216.15,187.43,1219.33,698.09,1257.57,1867.69,1818.1,1665.69,1548.03,1185.32,1260.32,1250.3,1436.4,1137.97,848.89,,,1050.99
港泽物业-youtube频道,7807859892,21,20010.53,,,,0,728.05,2129.79,1037.95,1022.24,1008.12,1001.76,1003.75,1043.92,1033.94,22.88,1985.37,1187.35,1117.36,1103.17,1137.18,1099.11,1064.97,1031.89,249.45,,,,,,,2.28
港中-管件,3440206411,30,11243.84,310.55,303.17,447.8,296.81,514.34,470.02,518.37,411.82,377.9,337.5,362.08,367.25,435.31,416.84,220.14,304.94,469.05,288.29,428.41,471.39,361.55,366.81,186.71,237.4,225.4,397.75,522.77,475.44,312.51,405.52
港中-焊接管2,3789207721,30,10293.75,429.42,327.47,185.11,265.98,501.43,448.94,429.24,447.33,387.17,332.13,209.64,259.55,473.74,419.85,242.34,180.08,131.76,118.29,506.36,365.44,452.31,416.35,266.44,325.77,347.08,424.33,449.45,440.82,360.81,149.12
港中-碳钢,7344398541,30,10877.31,401.32,246.95,399.51,256.39,465.67,462.88,400.93,435.8,253.85,349.87,284.75,458.35,443.98,339.69,348.31,202.36,260.95,299.82,290.33,418.53,495.74,423.95,258.01,472.39,332.81,410.37,449.49,449.07,346.64,218.6
高兆帕阀门,9487352154,30,5156.62,136.96,104.99,161.3,170.74,222.39,221.97,259.08,240.76,165.55,46.95,138.72,262.34,185.21,166.03,145.91,131.13,73.38,121.91,276.18,199.43,172.25,223.55,140.11,92.57,116.81,259.34,250.36,213.64,93.31,163.75
格莱德曼 20940.66 20210412,4807625960,15,17.88,,,,,,,,,,,,,0,,0,,0,,0,0,0,0,0,0,3.98,4,0,0,3.92,5.98
格林曼 10000 20210316,2881049625,30,1588.74,49.45,53.21,55.34,55.41,58.22,64.91,54.6,45.26,49.33,46.61,32.78,38.45,32.11,26.95,16.88,28.81,32.15,63.81,41.03,41.35,51.73,48.09,45.29,72.76,84.41,83.4,81.09,68.49,86.49,80.33
公牛-4,1581497403,24,52633.72,2633.81,2392.76,1174.28,,1345.77,2325.18,2586.2,2256.63,2340.15,1718.06,1865.69,3556.94,2822.81,1912.08,,1221.33,1449.19,1609.42,3130.62,2892.22,2807.11,2727.95,2681.84,1030.58,1623.13,2529.97,,,,
共赢化学-在线,3032242637,30,559.57,19.59,13.47,14.7,14.33,20.83,20.8,17.05,18.78,19.93,18.5,10.53,20.24,16.87,20.5,27.9,19.71,18.23,11.52,15.87,24.23,21.6,13.64,20.41,18.23,12.7,30.5,20.61,18.71,20.5,19.09
挂,2102369290,1,2.15,,,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,
,2584878927,1,700.37,,,,,,,,,,,,,,,,,,,,,,700.37,,,,,,,,
冠品,7442845003,7,154.23,20.57,21.82,39.06,48.88,23.06,0,0.84,,,,,,,,,,,,,,,,,,,,,,,
光联光电科技Plus,7573280240,30,21576.46,837.87,355.15,371.1,390.23,602.78,949.22,945.65,1047.92,957.24,664.12,431.92,776.71,1013.51,921.35,880.84,832.18,586.27,352.44,784.17,1048.25,964.56,706.35,668.88,456.58,386.34,627.76,821.54,796.78,751.71,647.04
广东艾思荔检测仪器有限公司,8086205143,30,10040.95,482.3,334.24,80.49,97.47,299.7,556.71,548.54,563.34,396.5,297.24,193.67,530.37,524.12,525.72,670.31,355.18,175.48,188.84,390.97,410.26,281.71,313.44,249.44,96.16,138.94,302.58,256.3,311.24,308.57,161.12
广东百能家居有限公司-（代投）,6946772225,30,3788.95,119.92,110.42,148.96,153.08,140.9,139.99,126.08,141.07,127.61,154.17,126.99,129.22,125.95,132.29,123.02,124.81,119.87,120.93,124.19,124.42,115.7,115.42,124.76,106.37,114.75,106.15,88.95,162.5,128.92,111.54
广东保威新能源有限公司-momo,3215434337,30,11519.71,400.63,310.24,208.66,328.46,437.24,404.37,461.94,410.37,410.45,281.29,345.4,453.53,446.54,455.22,441.59,392.61,195.63,328.51,484.99,387.67,422.28,456.6,340.21,233.89,366.88,472.49,516.28,411.45,408.44,305.85
广东贝尔试验设备有限公司,5080088991,30,5128.12,182.45,89.41,46.27,2.54,131.86,261.34,221.37,230.59,219.59,114.76,79.38,175.48,285.18,209.97,215.24,189.74,59.21,34.42,194.9,338.54,182.05,232.78,173.36,70.35,106.17,291.16,248.93,234.96,148.22,157.9
广东博赛数控机床有限公司,3397409794,30,16035.78,546.34,454.59,495.39,485.55,591.58,695.15,558.71,622.95,458.43,369.21,377.32,511.69,731.25,708.17,506.88,469.39,512.15,379.51,659.16,594.86,591.68,643.98,457.48,416.8,485.24,532.83,577.9,519.58,630.4,451.61
广东华标创业集团有限公司-momo,8533020203,30,1522.39,9.9,54.28,56.87,46.46,32.69,47.82,44.95,55.84,57.51,67.99,78.96,46.14,55.58,51.93,51.39,46.65,48.96,38.18,41.43,53.67,66.54,49.04,45.99,56.55,74.04,33.78,39.76,30.13,66.74,72.62
广东汇彩聚能创新科技有限公司,4107562748,8,1994.97,,,,,,,,,,,,,,,216.16,302.73,262.87,230.93,228.25,284.63,257.25,212.15,,,,,,,,
广东汇成真空科技股份有限公司,1147909361,13,5075.18,546.79,393.06,332.12,281.61,458.19,470.61,628.44,536.6,490.93,307.46,200.75,399.93,28.69,,,,,,,,,,,,,,,,,
广东钜保运动用品有限公司,3802484498,30,3089.8,105.26,111.16,172.75,85.3,85.97,108.35,136.24,86.04,83.8,83.42,90.41,145.24,88.56,123.08,94.74,85.26,105.83,79.61,106.52,107.24,103.53,86.58,59.58,117.49,124.02,96.63,81.61,123.29,113.28,99.01
广东隆源光电--展示广告-（代投）,8925550282,28,3647.3,99.34,3.94,,0,,0,0,59.22,106.08,183.03,203.9,210.14,199.3,236.38,236.08,231.77,147.51,142.06,147.44,141.1,139.91,130.58,134.72,135.92,131.76,123.72,122.56,135.08,130.12,115.64
广东恰好时体育有限公司,8831052968,30,3924.91,179.56,159.68,119.59,102.77,170.97,176.58,198.32,173.86,172.97,142.7,163.47,185.65,182.06,109.46,114.6,55.17,47.65,44.16,49.39,26.59,82.8,166.91,141.3,175.77,171.92,160.54,113.07,116.18,155.29,65.93
广东沁鑫科技有限公司-广州,5985365556,30,1542.92,162.91,101.68,56.05,44.06,52.32,42.37,41.22,39.71,41.24,32.99,35.23,32.82,31.42,25.4,41.78,25.86,25.34,48.85,56.14,62.14,46.14,60.35,44.72,41.02,57.07,21.91,87.9,13.6,84.72,85.96
广东瑞荣泵业有限公司-momo,3561803678,24,2494.4,100.77,105.93,80.19,75.59,119.16,131.92,222.1,149.79,75.35,116.43,55.98,144.9,79.37,75.95,136.93,86.99,48.82,61.23,118.56,128.26,128.7,114.33,100.55,36.6,,,,,,
广东天波信息技术股份有限公司-Becca,9103555780,30,14398.78,575.03,572.3,448.7,159.84,601,629.92,573.62,619.5,531.65,453.33,150.75,570.45,569.04,609.32,527.9,536.21,455.92,140.85,604.77,622.01,542.78,555.7,492.91,443.35,146.2,506.03,434.27,467.3,432.65,425.48
广东网堤信息,4060950086,8,2.8,2.8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
广东祥业信安科技有限公司,5656208698,18,927.91,36.84,67.15,54.5,53.5,55.24,66.6,63.14,27.28,52.74,66.99,89.51,45.68,42.82,41.67,49.31,37.1,30.88,46.96,,,,,,,,,,,,
广东鑫陶科技有限公司,6442097294,30,6072.74,221.35,205.77,217.72,245.22,217.42,199.55,207.9,207.84,191.51,212.61,198.26,200.35,218.72,202.07,199.65,199.45,189.93,208.81,205.17,183.68,217.78,216.86,226.79,192.46,161.43,191.97,202.53,184.25,179.05,166.64
广东永联数控设备科技有限公司_http://www.ylskspringmachine.com/,7826348397,30,4211.26,92.41,117.23,165.94,122.76,161.27,138.04,183.44,145.84,119.05,98.62,163.86,140.11,134.14,172.63,150.65,185.18,110.11,158.33,176.14,142.51,112.07,148.39,134.29,119.16,138.13,126.2,145.71,133.25,146.89,128.91
广东永一智能设备有限公司,7632660480,30,8651.99,213.12,295.29,176.29,116.39,406.12,426.89,477.56,365.29,278.65,236.16,102.82,299.05,373.46,353.33,356.8,236.18,206.95,112,304.22,435.77,431.44,327.42,152.51,124.5,148.59,405.02,462.96,304.63,271.66,250.92
广西美斯达国际贸易有限公司,5447833148,26,4413.77,293.21,84.4,103.66,74.5,259.06,125.69,213.99,163.78,245.91,127,123.17,119.8,158.11,89.37,176.28,185.93,113.44,101.98,209.87,295.21,315.64,211.6,266.77,170.61,171.87,,,,,12.92
广西森合高新科技股份有限公司,3362442759,28,7696.52,326.88,284.74,306.35,263.02,337.48,372.91,332.43,347.29,226.79,0.2,,,0,0,279.53,359.57,407.79,385.71,360.06,268,288.75,279.4,330.01,239.52,227.27,245.31,314.49,349.13,283.83,280.06
广西舒雅护理用品有限公司,3119483572,30,9709.22,412.95,400.04,392.58,415.07,354.48,361.22,342.52,305.27,253.93,240.74,280.13,489.51,498.28,463.15,455.61,284.22,235.1,245.56,195.75,154.62,244.04,392.12,314.92,233.66,286.26,310.74,425.66,263.48,234.44,223.17
广西梧州市星亿珠宝有限公司,4160456696,26,107.19,0,0,,,,,0,0,2.87,11.59,37.88,1.71,5.76,5.26,7.15,0,3.8,0,13.02,1.87,0,7.68,1.37,0.98,0.34,0,0,4.42,0,1.49
广宇铜业,4384418429,26,83.8,12,5.89,4.9,,3.99,3,0,0.75,5.11,4.03,,0,8.07,1,3.72,2.77,0,,0.74,2.99,5.72,2.25,8.24,0,,3.38,0,0,2.25,3
广州安根生物科技有限公司（代投）,8243701160,30,5192.13,125.23,116.86,85.45,113.75,125.58,207.54,186.92,214.5,176.49,83.29,105.66,177.31,203.31,234.39,211.39,261.31,113.21,113.96,168.65,207.48,248,238.7,214.58,165.79,129.42,191.96,208.97,235.32,195.19,131.92
广州澳佰蕾化妆品有限公司-广州,3725785384,30,2411.03,42.8,35.73,32.48,39.44,52.79,96.77,144.25,101.39,79.05,105.9,96.01,73.35,115.97,94.29,113.04,71.86,57.11,67.53,54.4,79.14,71.05,94.03,75.98,69.13,89.12,90.99,101.56,122.3,75.2,68.37
广州博菲特健身器材有限公司,1888955939,30,2061.28,62.51,75.59,77.67,48.62,93.27,77,76.86,73.07,71.47,75.14,24.14,71.87,77.16,75.81,86.3,63.64,42.19,39.33,68.99,49.65,56.61,51.97,19.89,62.57,36.47,111.95,120.29,126.2,85.97,59.08
广州创实得环保科技有限公司-Becca,5902926042,30,8152.16,297.86,307.11,217.46,293.97,323.87,391.84,322.25,349.41,223.72,223.73,362.12,319.84,279.4,263.65,214.72,236.35,351.36,233.03,282.29,303.21,300.08,286.1,180.97,205.85,229.85,236.84,260.71,220.46,274.54,159.57
广州鼎诚化工有限公司,6303348754,30,3436.67,162.74,117.82,75.36,87.24,105.75,167.94,132.93,202.04,148.57,127.57,42.18,133.75,155.2,131.82,97.77,113.51,65.65,44.81,171.11,120.38,108.05,108.92,81.66,81.46,53.74,125.95,131.96,89.88,144.71,106.2
广州鼎贵智能科技有限公司-momo,8664053051,18,10696.16,683.23,540.04,,,,0,488.4,1083.76,834.15,1037.88,1100.86,202.82,,,,,,,242.11,708.58,733.63,653.46,599.78,599.87,599.71,469.99,,117.89,,
广州凡汇信息科技有限公司,5190952165,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州凡汇信息科技有限公司-momo,2314176489,1,1.68,,,,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,
广州泛非购商业有限公司-momo,3032938600,28,1905.62,46.95,61.87,58.35,37.67,63.19,63.14,51.36,66.71,62.13,56.47,61.25,59.78,71.51,50.77,59.35,63.74,64.29,63.74,70.62,69.4,69.55,63.74,98.64,121.4,123.4,66.79,,,63.5,96.31
广州富诚控股--传奇今生,5980339131,1,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03
广州广同教学设备有限公司-Becca,7871549170,30,903.3,42.22,31.77,14.28,35.4,29.48,54.42,26.19,31.36,46.53,13.4,33.68,36.2,32.51,43.72,43.37,21.58,12.23,30.01,25.4,46.99,52.99,50.85,17,10.93,18.85,25.54,13.78,23.55,20.46,18.61
广州华工环源绿色包装技术股份有限公司(新),4760333446,30,7794.66,199.39,238.06,327.29,158.95,446.23,299.57,529.95,324.85,225.4,246.28,270.25,232.4,210.86,189.92,299.56,216.8,269.41,193.89,220.18,236.86,323.06,179,247.53,405.61,143.87,217.65,200.17,191.26,264.92,285.49
广州汇力工贸有限公司-huinee.com（代投&自投）,9237016782,26,7464.41,698.43,1035.4,546.77,382.99,1026.83,824.37,95.92,175.35,75.01,40.46,38.35,94.23,73.6,59.74,75.07,38.65,,,63.79,72.24,74.19,78.95,51.19,,,47.64,634.28,676.49,242.05,242.42
广州汇力工贸有限公司--huinee.net,9079893237,4,2762.28,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.45,943.19,304.91,299.73
广州金田瑞麟环境科技有限公司-Becca,6191857360,30,12459.65,442.97,316.92,236.5,246.35,359.84,418.29,466.31,406.63,356.7,320.67,391.62,593.26,448.25,397.35,599.86,382.45,246.2,264.27,451.42,349.46,392.81,388.45,384.19,264.63,239.47,530.1,1449.46,377.96,390.4,346.86
广州金耘特殊金属有限公司,2374519883,6,14.01,0,0,,,5.87,,0,0,8.14,,,,,,,,,,,,,,,,,,,,,
广州科莱瑞迪医疗器材股份有限公司-广州,8995814909,6,36.69,35.47,0,0,0,0,1.22,,,,,,,,,,,,,,,,,,,,,,,,
广州洛漫信息科技有限公司,6981236344,22,79.73,6.28,3.21,,,3.21,3.12,0,0,8.55,,,3.04,6.95,9.44,3.12,0,,,3.21,3.21,5.79,0,0,,,5.07,3.16,2.98,3.21,6.18
广州牧童水上乐园设备有限公司-Becca,9416471974,22,4485.86,218.65,217.49,,,202.94,235.52,223.93,219.55,218.44,,,229.36,219.97,214.23,209.48,191.29,,,211.8,208.28,169.08,136.84,155.14,,,137.17,159.34,284.89,244.37,178.1
广州派度医疗科技有限公司,6633663942,30,8469.88,233.09,236.96,173.53,262.09,204.12,309.35,261.91,254.52,283.51,359,361.23,271.05,318.76,340.25,322.39,327.03,277.61,300.5,293.28,374.28,365.41,283.81,249.63,278.19,265.69,278.47,249.95,252.3,294.11,187.86
广州鹏泽机械设备有限公司-momo,1488693559,19,4732.55,217.03,223.4,208.95,191.47,225,226.31,232.52,213.63,113.91,8.46,,,,,,,,,,,,214.71,285.51,312.47,291.23,312.44,352.82,382.59,352.76,367.34
广州奇乐游乐设备有限公司-momo,1861924127,3,86.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,27.26,52.56
广州声博士声学技术有限公司-Becca,8071088198,30,10579.17,369.27,407.05,332.36,287.34,294.33,393.95,414.24,413.04,342.79,297.89,295.41,365.57,346.21,323.3,405.64,376.33,290.74,256.53,346.6,353.14,373.26,443.44,189.01,438.72,343,367.96,407.28,431.66,304.11,369
广州诗尼曼家居股份有限公司,3768998131,30,14656.46,701.8,736.26,824.77,855.56,838.34,621.05,484.63,483.28,556.95,529.83,515.71,550.56,530.74,512.4,402.65,380.81,383.29,373.84,387.75,381.65,379.98,360.99,404.87,356.96,348.61,358.72,345.35,349,349.44,350.67
广州市保利锦汉展览有限公司,5050135842,30,31360.02,468.79,453.8,475.89,471.23,488.52,489.87,477.7,860.55,890.76,832.99,703.29,2150.5,1521.59,1630.45,1086.15,1003.86,942.09,880.39,2009.48,1670.99,1623.97,1806.07,1017.65,1012.74,924.71,1199.48,1081.17,1077.04,1080.63,1027.67
广州市高艺电子科技有限公司-momo,9033226749,30,651.68,21.07,18.87,16.27,16.45,17.75,16.01,20.42,19.3,15.22,16.89,18.05,23.65,27.62,13.64,18.88,16.97,29.73,26.17,21.5,28.77,27.27,20.72,26.85,21.61,32.53,20.15,26.39,23.76,24.04,25.13
广州市加拿大外籍人员子女学校,1071988984,21,1058.43,,0.27,,,,,0.26,2.44,,2.64,1.8,11.31,46.66,0.19,0.07,5.65,,,,154.33,154.84,152.86,149.15,36.18,47.33,70.47,51.67,54.24,57.8,58.27
广州市坚成广告制品有限公司—momo-活跃,1673983636,24,1169.55,38.8,24.05,,,,23.38,47.74,80.81,50.12,20.46,,59.23,59.9,57.37,55.01,44.84,18,,36.86,57.63,62.59,82.1,37.12,14.24,,60.35,69.27,33.24,77.84,58.6
广州市精井机械设备有限公司20200826,3421795542,30,8523.75,297.25,232.87,253.93,229.32,270.72,498.55,348.92,415.83,211.29,209.14,163.26,368.76,390.93,301.01,260.18,333.55,242.97,147.46,366.67,482.13,301.51,314.44,211.63,191.54,102.06,287.3,334.69,234.3,259.21,262.33
广州市卡贝路贸易有限公司(出口易）---momo-,2059723320,15,2674.72,247.59,228.45,231.63,240.76,217.81,227.8,231.27,194.82,168.17,249.64,230.6,178.35,27.25,0,0.58,,,,,,,,,,,,,,,
广州市丽江经济发展有限公司-Becca,2401193776,30,30413.63,1044.22,1067.01,937.42,968.1,1113.13,1204.22,1123.87,1070.35,1046.8,914.32,914.53,1004.06,1113.63,1094.97,1038.85,1036.77,902.3,987.37,1090.91,1121.98,1025.05,1021.52,998.5,932.59,874.47,964.6,996.02,992.88,944.75,868.44
广州市普理司印刷科技有限公司-（代投）,9867937115,24,1768.83,,,,,,,17.09,72.19,68.01,41.21,59.03,59.29,105.32,81.16,44.02,65.12,61.9,51.67,75.14,79.62,104.96,100.6,101.23,37.7,65.07,115.07,81.03,96.22,78.78,107.4
广州市仁鑫机电设备有限公司,2738184631,30,5011.91,115.92,152.03,189.11,158.96,142.73,182.83,145.18,173.42,209.65,152.43,165.83,206.9,193.85,154.36,147.01,202.51,134.98,137.53,160.81,219.98,163.63,162.11,189.01,125.75,150.91,138.32,197.51,215.23,188.8,134.62
广州市威龙达机电设备有限公司,2208323416,30,12295.73,322.1,332.76,328.89,325.32,456.82,549.71,472.16,516.17,414.99,511.69,325.88,428.14,289.82,369.56,483.79,345.72,265.72,226.67,433.84,469.66,611.84,491.6,455.67,325.77,460.97,500,428.77,385.75,445.57,320.38
广州市西尚皮具有限公司-momo,8153830317,13,1752.38,152.17,137.1,109.86,116.37,181.11,119.15,173.15,172.53,97.93,92.62,82.3,140.69,177.4,,,,,,,,,,,,,,,,,
广州市喜泰包装设备有限公司,2895099946,30,6276.07,132.68,148.07,126.06,155.52,99.48,145.23,175.9,132.09,162.54,149.71,192,144.47,203.3,178.8,207.6,175.57,256.17,234.15,244.16,197.15,259.13,262.95,273.96,305.4,268.92,303.72,387.32,267.5,235.15,251.37
广州市新航科技有限公司,7413990815,30,3765.71,121.29,38.62,56.67,52.4,66.08,136.13,37.84,160.79,51.98,25.89,25.71,47.45,45.19,176.98,199.08,170.18,165.36,101.68,111.5,197.17,252.57,126.42,215.48,105.41,12.84,142.36,307.55,234.02,236.55,144.52
广州市溢丰电子科技有限公司,2247938176,30,2828.76,63.37,56.2,52.16,104.09,110.28,144.9,112.9,97.5,91.63,73.32,84.02,122.72,163.67,56.47,119.93,109.29,66.43,136.26,107.65,78.79,88.68,57.73,89.44,91.67,55.57,72.58,98.23,61.23,68.77,193.28
广州市英伦外籍人员子女学校-（代投）,9983132890,16,2537.31,189.19,168.23,129.65,72.56,170.14,137.86,190.76,177.97,155.22,105.01,122.48,222.71,179.8,155.86,197.41,162.46,,,,,,,,,,,,,,
广州市影擎电子科技有限公司（新）,5406800166,24,4945.63,,,,,,,506.53,548.76,440.17,170.19,164.97,233.78,123.92,182.04,165.22,161.2,178.27,149.69,220.69,174.78,178.22,159.16,161.82,210.69,178.84,203.82,144.87,123.69,133.46,30.85
广州市钰翔轻工机械设备有限公司,8040746176,19,3783.6,,,,,,,,,,,,215.56,209.99,133.86,178.41,144.76,64.54,181.74,295.19,112.18,245.8,215.44,171.94,159.43,241.86,277.91,285.57,279.54,248.37,121.51
广州搜料信息技术有限公司-poggie,5305685886,28,291.47,14.5,11.85,7.92,0,0,7.54,18.86,0,15.92,7.61,0,19.84,16.25,19.99,11.21,14.55,7.76,0,22.45,14.73,5.95,12.88,13.49,0,14.78,14.17,7.75,11.47,,
广州泰斯汀酒业有限公司 -新,1419717266,30,1512.95,56.03,107.77,132.65,118.41,85.52,127.81,107.71,116.16,119.72,118.39,110.71,54.6,0,29.88,0,19.92,24.61,14.92,9.86,4.18,19.98,19.47,19.29,0,14.81,0,0,0,0,80.55
广州亚能能源科技有限公司-anern.com,3230140302,30,32063.83,288.14,1552.04,2014.61,979.19,1304.13,1396.62,1189.58,941.06,977.98,1037.67,987.77,1071.37,1321.17,1120.69,1134.95,921.79,1006.57,1174.83,1109.33,1123.57,941.25,935.5,826.37,678.33,1342.79,785.53,720.78,708.5,1190.19,1281.53
广州亚能能源科技有限公司-anern.link,8902567931,30,28736.21,714.57,723.9,2040.77,1386.83,671.48,787.57,652.27,790.01,1073.22,1383.75,1462.39,610.8,909.66,746.08,767.94,858.35,1275.94,1513.49,696.43,677.08,740.01,806.47,652.2,1264.71,1465.92,561.25,989.36,636.27,971.83,905.66
广州亚能能源科技有限公司-anern.net,6610551152,30,36669.4,1530.73,1032.71,1398.91,1336.89,947.16,1330.6,961.86,890.99,1062.78,876,959.34,1616.12,1213.69,1343.06,942.24,1166.94,1099.52,1480.81,1159.9,789.27,848.43,1102.79,1305.48,1317.9,1459.93,1448.67,1498.95,1380.36,1573.49,1593.88
广州亿速云计算有限公司-Becca,3246411650,30,479310.03,17864.11,15486.15,18293.74,15610.55,16083.67,15152.88,17248.85,17373.12,15261.09,16070.66,14554.61,18762.19,17182.62,15116.45,11409.79,19062.73,14212.14,20262.72,19623.17,15629.49,14596.75,14590.87,13787.06,16749.87,12783.11,22247.06,17477.69,11782.37,18018.54,7015.98
广州裕锋机械有限公司-Becca,7876557593,30,4707.47,162.29,141.71,154.24,159.3,139.06,193.43,204.76,121.27,141.43,115.53,131.25,225.69,246.74,166.75,115.46,125.32,122.37,136.81,206.43,134.44,219.99,178.88,173.79,152.53,112.87,196.7,123.58,123,129.88,151.97
广州智传电子有限公司-广州,2854722403,30,607.96,24.26,20.96,20.7,23.87,24.37,24.02,20.44,23.65,20.68,23.11,22.23,28.33,21.98,22.27,14.78,14.34,19.68,27.92,21.27,21.25,20.54,15.92,19.54,23.66,17.5,17.3,11.94,14.42,16.4,10.63
广州卓芬化妆品有限公司,9905779235,30,6540.96,272.7,259.17,251.9,243.19,217.12,237.17,228.97,251.94,214.41,230.04,226.12,212.3,244.91,206.82,225.02,224.05,200.44,202.7,227.4,202.96,214.16,210.69,195.81,191.21,202.29,204.93,192.91,205.16,182.79,161.68
广州卓越人造草坪有限公司,3104628458,30,1499.54,54,51.34,55.09,49.83,55.57,53.07,55.46,51.96,40.63,51.29,53.62,51.37,29.25,45.74,59.05,53.16,54.28,39.96,56.68,58.97,57.29,42.49,35.14,36.47,64.89,59.72,48.5,50.5,58.92,25.3
国材商标,7626219217,23,4880.48,179.55,204.03,79.82,26.08,227.13,157.27,323.81,169.95,217.73,108.72,151.41,294.17,379.23,368.79,291.34,249.72,97.92,151.67,459.89,359.12,284,99.13,,0,,,,,,
国星24000-20190228,2139600682,13,533.66,46.33,43.69,43.92,28.29,25.44,69.15,40.6,42.68,36.96,38.74,52.84,45.94,19.08,,,,,,,,,,,,,,,,,
国扬打印耗材-apex-jet.com,8246881594,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0
海创立-30000-20210308,3211342146,30,2708.65,174.75,77.1,82.32,104.65,72.17,51.45,61.01,56.23,84.8,33.53,27.73,134.82,103.1,86.82,90.55,90.47,85.89,100.63,91.9,79.3,72.32,70.89,95.78,87.8,85.15,108.24,124.07,120.38,119.07,135.73
海格客车,7914521650,30,11835.29,125.99,241.95,180.7,166.41,210.35,324.07,893.88,221.88,229.61,285.35,405.71,2433.5,404.3,197.17,528.68,399.24,282.89,251.8,400.99,240.32,281.24,362.79,309.43,330.56,486.36,362.97,353.53,365.71,334.91,223
海门叠石桥家纺城,5613329825,30,3368.18,118.81,105.92,106.23,151.03,125.67,148.19,122.83,99.39,99.33,92.66,85.51,87.36,120.24,103.29,123.62,94.79,101.36,120.32,107.66,136.73,97.76,110.94,121.38,104.85,112.29,105.96,105.88,91.48,126.78,139.92
海亚封条,1653041574,22,4168.2,175.89,137.85,,,132.49,162.78,243.09,232.81,224.74,,,149.11,185.04,251.85,258.6,160.33,,,153.97,182.8,200.97,247.22,230.69,,,178.17,178.64,211.28,176.2,93.68
